City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature,Wind Speed (MPH)
Lowestoft,0.0,GB,,81.0,52.4752,,,4.0
Mehamn,95.0,NO,,91.0,71.0357,,,10.0
Chokurdakh,78.0,RU,,79.0,70.6333,,,4.03
Mataura,0.0,NZ,,68.0,-46.1927,,,8.99
Muisne,45.0,EC,,85.0,0.6,,,2.13
Qaanaaq,0.0,GL,,70.0,77.484,,,7.2
Mahébourg,75.0,MU,,73.0,-20.4081,,,8.05
Rikitea,91.0,PF,,69.0,-23.1203,,,6.02
São Marcos,84.0,BR,,87.0,-28.9711,,,4.0
Punta Arenas,40.0,CL,,71.0,-53.15,,,14.97
Prince Albert,90.0,CA,,57.0,53.2001,,,11.5
Naze,75.0,JP,,82.0,28.3667,,,27.63
Cherskiy,0.0,RU,,84.0,68.75,,,2.86
Busselton,0.0,AU,,73.0,-33.65,,,1.99
Guerrero Negro,0.0,MX,,74.0,27.9769,,,13.31
Lagoa,100.0,PT,,88.0,39.05,,,31.54
Saint-Augustin,100.0,CA,,94.0,51.226,,,14.81
Tūkrah,14.0,LY,,75.0,32.5341,,,9.35
Alexandria,0.0,EG,,87.0,31.2156,,,3.91
Tasiilaq,90.0,GL,,68.0,65.6145,,,25.32
Saint-Philippe,0.0,RE,,65.0,-21.3585,,,13.8
Pisco,0.0,PE,,83.0,-13.7,,,6.91
Varkala,20.0,IN,,68.0,8.7341,,,2.3
Sanquhar,0.0,GB,,64.0,55.3653,,,14.97
Berlevåg,100.0,NO,,93.0,70.8578,,,15.75
Piñas,82.0,EC,,86.0,-3.6667,,,0.56
Bredasdorp,100.0,ZA,,88.0,-34.5322,,,3.44
Khorramshahr,0.0,IR,,72.0,30.4397,,,4.61
Port Alfred,100.0,ZA,,96.0,-33.5906,,,8.08
Albion,90.0,US,,57.0,42.2431,,,3.44
Alice Springs,75.0,AU,,48.0,-23.7,,,10.36
Majholi,100.0,IN,,40.0,23.5,,,3.29
Abnūb,0.0,EG,,62.0,27.2696,,,9.22
Capinópolis,100.0,BR,,82.0,-18.6819,,,2.19
Pitiquito,0.0,MX,,27.0,30.7,,,8.99
Ushuaia,40.0,AR,,76.0,-54.8,,,29.93
Khatanga,100.0,RU,,87.0,71.9667,,,4.92
Havøysund,20.0,NO,,74.0,70.9963,,,3.44
Yangi Marg`ilon,12.0,UZ,,53.0,40.4272,,,2.3
Castro,100.0,BR,,96.0,-24.7911,,,5.55
Carnarvon,91.0,AU,,69.0,-24.8667,,,18.41
Saint Paul Harbor,90.0,US,,87.0,57.79,,,36.82
Esim,0.0,GH,,84.0,4.8699,,,10.18
Pacific Grove,90.0,US,,62.0,36.6177,,,4.61
Lebu,0.0,CL,,90.0,-37.6167,,,14.2
Longyearbyen,20.0,SJ,,78.0,78.2186,,,16.11
